"language","aid","item","kb_current_time","tag","pop_type","sticker_id","session_id","channel","package_name"
"en_GB","b4114c31cd325432a2239b7d56209a2663164af8","pop_show","1543276744","""super""","""magic""","""58749031-9b1e-4c6a-b3c8-1fe8c8b69ed4""","""stickerF9wVs5EzDKz9suuxKWQw5G20181126064710871""",,"""com.facebook.orca"""
"en_US","e8a4103702c89e5bcda04130c64babe93f115a2b","pop_show","1543264635","""tnq""","""magic""","""f18b4023-f6d4-4dd1-b0c7-a8a54156b299""","""stickerQRcZUAbqYeUyKg3tXCbpsk20181125231721976""",,"""com.whatsapp"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543276809","""hey""","""magic""","""1568008""","""kIkaCeReS0003WdJxgQBhoELSVuECZYh9Ud20181127040929566""",,"""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543264625","""hey there""","""sticker""","""6dee8a41-82ac-41d5-9b72-fa68329febfa""","""stickerhRbANNvU52tSSWS8qZLCBf20181127040930515""","""kikatech.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543264627","""hey there""","""sticker""","""1129648""","""kIkaCeReS0003WonKuE98sMWzcgXJsXtiSf20181127043706230""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543264633",""":)""","""sticker""","""aba0a72e-38aa-4bf5-859c-27473f6af63d""","""stickerGGjKB3LpJtSoXs6rsBdsD320181127034255493""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543264699","""ho""","""magic""","""1566504""","""kIkaCeReS0003BW7wWf2g5T9TVPwUq5F8GV20181127031416044""",,"""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543264705","""i am""","""sticker""","""JqSd3zNscEIeI""","""stickerBhH5RNPZAfNgqaZc4tGJUj20181126031810995""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543264826","""yea""","""sticker""","""1385415""","""kIkaCeReS0003sfMxxjs8edQMpXDhw4eFej20181127024629894""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543264912","""are you""","""sticker""","""1474030""","""kIkaCeReS0003VkafrApv7MeUwRDFt2oceM20181125063537520""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543264973","""yea""","""magic""","""1567759""","""kIkaCeReS0003MpgL5UMVZLK8XTdhwNNAaj20181127044026908""",,"""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543264986","""lok""","""magic""","""d8034578-8c09-47f0-93ee-1a0c2253ddcc""","""stickerrZ5FDTn84HdYt57arZCffP20181113024439965""",,"""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543265181","""man""","""sticker""","""d1d8140e-5ffc-4a09-aab2-2d300eac97c3""","""stickerTCE5QZ2LrR3ke9sT7Cfnqf20181121052703338""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543265200","""youtube""","""magic""","""1568561""","""kIkaCeReS0003HGL4DNNCCNxVPXYeg4NbeJ20181124045352360""",,"""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543265230","""\uD83D\uDE02""","""sticker""","""49782563-b4c6-4169-9ca3-806fff03f23c""","""sticker5xZEidjQ34KH7FDSAkoyUf20181127034446248""","""tenor.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543265234","""to""","""sticker""","""1489422""","""kIkaCeReS0003Kj528sP8qGfoqo9jTDLjdD20181127044714139""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543265246","""\uD83D\uDE0D""","""sticker""","""3mo3WBFrvVTYk""","""kIkaCeReS0003gWyDq3Le6cYt9RLtqJ7QMT20181127015853117""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543265306","""yea""","""sticker""","""312600""","""kIkaCeReS0003ocqxbTxaYfV785NBUy93cg20181127044254718""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543265309",""":)""","""sticker""","""aba0a72e-38aa-4bf5-859c-27473f6af63d""","""kIkaCeReS0003hMRWgkuan4vYmPqmJsKHqb20181127043713237""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543268689","""fa""","""magic""","""d90c7ae2-5a41-466e-a41c-419f75ba3ee4""","""stickerMHiADGM8hBTBAbxfwh4tAY20181123061245687""",,"""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543271048","""be""","""magic""","""24036440-3df8-4849-8cc4-7c2072641e2b""","""null""",,"""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543271639","""yea""","""sticker""","""1385415""","""kIkaCeReS0003ZcHXv5NWhbTgnjTLzshvUA20181127044826657""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543271735","""what""","""sticker""","""1953900f-de61-451d-b6a3-ee26429faec3""","""sticker33aHDS3gvhczAL9CSMi9hB20181126031335348""","""kikatech.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543271772","""yea""","""magic""","""2155991""","""kIkaCeReS0003j9DitWjfexZft7HR5FJT6T20181127063400146""",,"""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543271842","""yea""","""sticker""","""1385415""","""kIkaCeReS0003LioVZY32LrjEB2YQR3d9Qm20181127063613852""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543271897","""\uD83D\uDE02""","""sticker""","""9405ed72-4f28-4b5e-95d3-3ad7fa187905""","""kIkaCeReS0003s2xNrL7EaYbpKvM2ei6Sdd20181127044710406""","""tenor.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543271906","""i am""","""sticker""","""vgUFOWBwBkziE""","""stickerH9RGU5DbJtKAA2tsCCUN5520181127043825868""","""giphy.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543271957","""yea""","""sticker""","""2fdd5110-dc86-491b-b3c1-6dff133ee3f9""","""stickerSeTZKZdytfVhoFo3YRCp4G20181127063724179""","""kikatech.com""","""com.facebook.orca"""
"en_GB","7718815dd5c2c7211ef4d9c56515546416e3d176","pop_show","1543271961","""yea""","""sticker""","""2498c784-a448-435f-9383-312116c61b34""","""sticker5LapX342CZMjvjdULGk5eW20181127063919024""","""kikatech.com""","""com.facebook.orca"""
"en_GB","b9d85611d584635adb49461f9e72112aa40df5ef","pop_show","1543265361","""yeah""","""sticker""","""84d8881a-0249-46e1-8675-39f3565e32a4""","""stickerUCGytey2T3SLHRfZ3LkCKP20181114191628189""","""kikatech.com""","""com.facebook.orca"""
"en_GB","b9d85611d584635adb49461f9e72112aa40df5ef","pop_show","1543265358","""haha""","""sticker""","""1914550""","""kIkaCeReS00032z86BNYazcHWSAkcB4gXhh20181126061959729""","""tenor.com""","""com.facebook.orca"""
"en_GB","c1e3fb291d5484c6bc7a1c649226d8fc5143915f","pop_show","1543266342","""wtf""","""sticker""","""bjpxfSzwJkCyY""","""stickerHcsvzzEbLLKwgEE3DPowAT20181123051548287""","""giphy.com""","""com.snapchat.android"""
"en_GB","c1e3fb291d5484c6bc7a1c649226d8fc5143915f","pop_show","1543266463","""pri""","""magic""","""342f6552-0b73-460c-9647-fe5d93be9127""","""stickerfVdcEYsgm9cyYP6zWmaDEH20181127050736051""",,"""com.snapchat.android"""
"en_GB","c1e3fb291d5484c6bc7a1c649226d8fc5143915f","pop_show","1543267331","""idk""","""sticker""","""3oKIPbKvfVzRxp5M0U""","""stickeriaAcAmhwWYxeSa9fyzagS920181125022236944""","""giphy.com""","""com.facebook.orca"""
"en_GB","c1e3fb291d5484c6bc7a1c649226d8fc5143915f","pop_show","1543267484","""ah""","""sticker""","""4ca68032-6d29-426b-99ba-21b84c66f976""","""stickerxaQa9KeChEq3mv6Usb7Wjf20181127013200004""","""tenor.com""","""com.facebook.orca"""
"en_GB","c1e3fb291d5484c6bc7a1c649226d8fc5143915f","pop_show","1543267731","""hmm""","""sticker""","""2234759""","""kIkaCeReS00037rtyKRyPspMNs5MUNhvnqn20181125171636614""","""kikatech.com""","""com.snapchat.android"""
"en_GB","c1e3fb291d5484c6bc7a1c649226d8fc5143915f","pop_show","1543268523","""oh""","""sticker""","""265040""","""kIkaCeReS0003VhCnUiR7DRaqRXT4PRDVQn20181126064244647""","""giphy.com""","""com.facebook.orca"""
"en_GB","c1e3fb291d5484c6bc7a1c649226d8fc5143915f","pop_show","1543268588","""oh""","""sticker""","""1493628""","""kIkaCeReS0003ffE4rqZB6DGKzVKxPRosHb20181127054156405""","""giphy.com""","""com.snapchat.android"""
"en_GB","c1e3fb291d5484c6bc7a1c649226d8fc5143915f","pop_show","1543268654","""nice""","""sticker""","""3o72FcJmLzIdYJdmDe""","""stickerYYUMeDhBjdXzpp2oLzLrpG20181113004039555""","""giphy.com""","""com.snapchat.android"""
"en_GB","c1e3fb291d5484c6bc7a1c649226d8fc5143915f","pop_show","1543272343","""kn""","""magic""","""ce49baaf-f0c4-4849-9e9c-b5545ade3a1a""","""null""",,"""com.snapchat.android"""
"en_GB","c1e3fb291d5484c6bc7a1c649226d8fc5143915f","pop_show","1543272404","""ah""","""sticker""","""4ca68032-6d29-426b-99ba-21b84c66f976""","""stickerqDJ2zvoedfYrcXsgcd6SZ320181127052438581""","""tenor.com""","""com.snapchat.android"""
"en_GB","57cedb83f2384d57c2476990340f6e3a6d15b4d7","pop_show","1543269245","""he""","""magic""","""88ceb7e7-9267-4ae1-9a18-3e931d6d2e73""","""stickerXgrqVGfPxGpzVAf4G5AHbZ20181124030012639""",,"""com.facebook.orca"""
"en_GB","22cdf279d0b28ec02f61e304ae0d64472c908237","pop_show","1543276824","""so""","""sticker""","""2156682""","""kIkaCeReS0003TYNuoTnBu27Px5oFR7m2PH20181127073727752""","""giphy.com""","""com.snapchat.android"""
"en_GB","ce12194a18f6b8ee71acb1200f53e870ba8d2838","pop_show","1543255535","""yea""","""sticker""","""2498c784-a448-435f-9383-312116c61b34""","""stickerTaxY6MB7RNwmbafJjVAWpn20181127020327601""","""kikatech.com""","""com.whatsapp"""
"en_GB","ce12194a18f6b8ee71acb1200f53e870ba8d2838","pop_show","1543255736","""lol""","""sticker""","""1128038""","""kIkaCeReS00033G8AeouHFcLUZrWMcvbySV20181124034445990""","""giphy.com""","""com.whatsapp"""
